Y	X	NAME
35.1071402717	-80.8829090426	I-485/South Blvd
35.1194586992	-80.8820755612	Sharon Road West
35.1356456142	-80.8763926369	Arrowood
35.1529041628	-80.8775402133	Archdale
35.1630236435	-80.8775223665	Tyvola
35.1758034275	-80.8791194224	Woodlawn
35.1908870553	-80.8749820618	Scaleybark
35.1997736953	-80.8690249808	New Bern
35.2121442758	-80.858994238	East/West
35.2157822394	-80.8552030846	Bland St
35.2187956813	-80.8509166885	Carson
35.2212821956	-80.8471357874	Stonewall
35.2236884688	-80.8431352916	3rd St/Convention Center
35.2253199647	-80.8409033551	Charlotte Transportation Center/Arena
35.2273763739	-80.8380908966	7th St
35.2296548546	-80.8350206881	9th Street
35.2369201721	-80.8232905516	Parkwood
35.241705269	-80.8171459793	25th Street
35.2490851292	-80.8063648061	36th Street
35.2514264704	-80.7928534842	Sugar Creek
35.2599414433	-80.7727888009	Old Concord Rd
35.2779530886	-80.7662822224	Tom Hunter
35.2867856379	-80.7608667354	University City Blvd
35.3011278424	-80.7528817239	McCullough
35.3107429494	-80.7451886338	JW Clay Blvd
35.31217718	-80.733725436	UNC Charlotte