NAME	ADDRESS	lat	long
FIRE STATION 39	8325 Providence Rd	35.093333	-80.776667
FIRE STATION 24	7132 Pineville-Matthews Rd	35.087146	-80.839025
FIRE STATION 41	5740 West Bv	35.208313	-80.959216
FIRE STATION 34	2824 Rocky River Rd	35.276093	-80.718019
FIRE STATION 26	9231 S Tryon St	35.132236	-80.940621
FIRE STATION 17	5308 Morris Field Dr	35.213303	-80.931857
FIRE STATION 37	13828 S Tryon St	35.09639	-81.001645
FIRE STATION 20	9400 Nations Ford Rd	35.129941	-80.892222
FIRE STATION 40	9720 Harrisburg Rd	35.238611	-80.667222
FIRE STATION 18	2337 Dr Webber Av	35.265506	-80.856121
FIRE STATION 1	221 N Myers St	35.222667	-80.834059
FIRE STATION 7	3210 N Davidson St	35.247198	-80.805419
FIRE STATION 11	620 W 28th St	35.251211	-80.824459
FIRE STATION 3	6512 Monroe Rd	35.179901	-80.75733
FIRE STATION 9	4529 McKee Rd	35.065086	-80.761015
FIRE STATION 19	1016 Sardis Ln	35.137992	-80.782193
FIRE STATION 38	12100 Shopton Rd West	35.144722	-81.003889
FIRE STATION 21	1023 Little Rock Rd	35.264966	-80.94051
FIRE STATION 10	2810 Wilkinson Bv	35.224158	-80.88767
FIRE STATION 13	4337 Glenwood Dr	35.254801	-80.895001
FIRE STATION 2	1817 South Bv	35.211217	-80.858298
FIRE STATION 29	2121 Margaret Wallace Rd	35.164046	-80.737108
FIRE STATION 27	111 Ken Hoffman Dr	35.30276	-80.750461
FIRE STATION 6	249 S Laurel Av	35.20281	-80.822617
FIRE STATION 12	420 Inwood Dr	35.173805	-80.875083
FIRE STATION 25	6741 Pleasant Grove Rd	35.308282	-80.911412
FIRE STATION 30	4707 Belle-Oaks Dr	35.192507	-80.935459
FIRE STATION 16	6623 Park South Dr	35.140168	-80.84799
FIRE STATION 36	2325 W Mallard Creek Church Rd	35.338146	-80.761055
FIRE STATION 42	5620 Central Av	35.205177	-80.752276
FIRE STATION 22	1917 W Sugar Creek Rd	35.289212	-80.795423
FIRE STATION 15	3617 Frontenac Av	35.23727	-80.775015
FIRE STATION 35	1120 Pavilion Bv	35.322087	-80.711902
FIRE STATION 4	525 N Church St	35.231787	-80.838934
FIRE STATION 33	2001 Mt Holly-Huntersville Rd	35.314342	-80.965242
FIRE STATION 31	3820 Ridge Rd	35.37376	-80.764192
FIRE STATION 14	114 N Sharon Amity Rd	35.176134	-80.797578
FIRE STATION 32	9225 Bryant Farms Rd	35.045128	-80.825872
FIRE STATION 28	8031 Old Statesville Rd	35.331948	-80.825792
FIRE STATION 23	7400 E W T Harris Bv	35.21944	-80.723095
FIRE STATION 5	224  Wesley Heights Wy	35.236932	-80.86126
FIRE STATION 8	1201 The Plaza	35.218282	-80.811135